source_id	target_id	target_title
2784	236382	美国地质勘探局：伊朗东南部城市克尔曼东北以北56公里处再发生5.1级地震
2784	371067	美国地质勘探局：伊朗东南部城市克尔曼东北以北56公里处再发生5.1级地震。
2784	467731	美国地质勘探局：希腊Rodopolis以西12公里处发生5.1级地震。
2784	328926	美国地质勘探局：印尼阿马哈伊东南部108公里处发生5.3级地震。
2784	430421	美国地质勘探局：菲律宾帕卢安东北以东9公里处发生5.1级地震。
2784	453585	美国地质勘探局：伊朗梅赫兰市东南偏南39公里处发生5.1级地震。
2784	7599	美国地质勘探局：巴布亚新几内亚洛伦高东南部163公里处发生5.3级地震
2784	171313	美国地质勘探局：巴布亚新几内亚城市Mendi西南46公里处发生5.1级地震
2784	169550	美国地质勘探局：巴布亚新几内亚洛伦高东南部163公里处发生5.3级地震。
2784	6420	美国地质勘探局：巴布亚新几内亚城市Mendi西南46公里处发生5.1级地震。
2784	375490	美国地质勘探局：日本HIRARA东南187公里发生5.1级地震
2784	370748	美国地质勘探局：新喀里多尼亚的塔迪讷东南偏东103公里处发生5.1级地震。
2784	419599	美国地质勘探局：日本鹿儿岛县西之表市以东100千米处发生5.1级地震
2784	432639	美国地质勘探局：印度Bamboo Flat东北以北86公里处发生5.6级地震
2784	246826	美国地质勘探局：印度Bamboo Flat东北以北86公里处发生5.6级地震。
2784	159818	美国地质勘探局：阿尔及利亚城市阿夫龙西南13千米处发生5.1级地震。
2784	194185	美国地质勘探局：中国台湾台南市东南部24英里处发生6.4级地震。
2784	480969	美国地质勘探局：巴布亚新几内亚西部185公里处发生5级地震
2784	337519	美国地质勘探局：印度尼西亚哥打阿贡以南112千米处发生5.1级地震
2784	260767	美国地质勘探局：巴布亚新几内亚城镇金贝139公里处发生5.6级地震。
12057	19	美国MBA抵押贷款申请指数上周上升4.4%。
12057	70568	美国MBA抵押贷款申请指数上周上升1.5%。
12057	178184	美国MBA抵押贷款申请指数上周上升2.8%。
12057	244537	美国MBA抵押贷款申请指数上周上升0.1%。
12057	259131	美国MBA抵押贷款申请指数上周上升0.7%。
12057	460560	美国MBA抵押贷款申请指数上周上升8.3%。
12057	24168	美国MBA抵押贷款申请指数上周下降4.9%。
12057	139892	美国MBA抵押贷款申请指数上周下降6.2%。
12057	151418	美国MBA抵押贷款申请指数上周下降2.3%。
12057	176020	美国MBA抵押贷款申请指数上周下降1.8%。
12057	214322	美国MBA抵押贷款申请指数上周下降9.7%。
12057	262194	美国MBA抵押贷款申请指数上周下降0.5%。
12057	271520	美国MBA抵押贷款申请指数上周下降4.1%。
12057	417027	美国MBA抵押贷款申请指数上周下降6.6%。
12057	423701	美国MBA抵押贷款申请指数上周下降2.6%。
12057	444517	美国MBA抵押贷款申请指数上周下降2.8%。
12057	36722	美国4月8日当周MBA抵押贷款申请活动指数周环比10%，前值2.7%。
12057	225750	美国3月17日当周MBA抵押贷款申请活动指数周环比-2.7%，前值3.1%。
12057	293781	美国4月1日当周MBA抵押贷款申请活动指数周环比2.7%，前值-1%。
12057	364178	美国4月21日当周MBA抵押贷款申请活动指数周环比2.7%，前值-1.8%。
19620	225781	日本首相安倍晋三和美国总统特朗普见面前夕，日本考虑从美国进口更多液化天然气（LNG）。
19620	202146	荷兰皇家壳牌：液化天然气的需求或将超过供应。
19620	480559	【中海油：将加大液化天然气进口以缓解冬季供应短缺】中海油天然气和电力集团副总经理吴正兴周六表示，公司计划加大冬季液化天然气的进口，以满足供应缺口；今冬中国北方地区天然气供应短缺状况有望持续。注：中海油为中国最大的液化天然气进口商。
19620	309156	习近平称中国将扩大从美国进口液化天然气和原油。(央广)
19620	232009	壳牌CEO：液化天然气显然没有出现供应过剩。
19620	247464	据央广：国家主席习近平称中国从美国进口的液化天然气和原油将扩大。
19620	3049	习近平称，中国将扩大从美国进口液化天然气和原油。（央广网）
19620	63771	据外媒：印度燃气公司与俄罗斯天然气寡头Gazprom将就液化天然气销售协议进行重新谈判。
19620	288443	中国商务部：上半年中国自美进口原油和液化天然气达到14亿美元。
19620	15635	中国联合石化总经理陈波称，公司正着眼在美国寻求更多LNG合约。联合石化去年转售200万吨液化天然气LNG。
